geoRegion,datum,entries,sumTotal,timeframe_14d,timeframe_all,offset_last7d,sumTotal_last7d,offset_last14d,sumTotal_last14d,offset_last28d,sumTotal_last28d,sum7d,sum14d,mean7d,mean14d,entries_diff_last_age,pop,inz_entries,inzsumTotal,inzmean7d,inzmean14d,inzsumTotal_last7d,inzsumTotal_last14d,inzsumTotal_last28d,inzsum7d,inzsum14d,sumdelta7d,inzdelta7d,type,type_variant,version,datum_unit,entries_letzter_stand,entries_neu_gemeldet,entries_diff_last
CH,2020-02-24,1,1,FALSE,TRUE,4385008,0,4383801,0,4376250,0,NA,NA,NA,NA,7,8738791,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,COVID19Cases,,2023-01-24_06-03-16,day,1,0,914
CH,2020-02-25,1,2,FALSE,TRUE,4385008,0,4383801,0,4376250,0,NA,NA,NA,NA,7,8738791,0.01,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,COVID19Cases,,2023-01-24_06-03-16,day,1,0,914
CH,2020-02-26,10,12,FALSE,TRUE,4385008,0,4383801,0,4376250,0,NA,NA,NA,NA,7,8738791,0.11,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,COVID19Cases,,2023-01-24_06-03-16,day,10,0,914
CH,2020-02-27,10,22,FALSE,TRUE,4385008,0,4383801,0,4376250,0,NA,NA,8.14,NA,7,8738791,0.11,0.25,0.09,NA,NA,NA,NA,NA,NA,NA,NA,COVID19Cases,,2023-01-24_06-03-16,day,10,0,914
CH,2020-02-28,10,32,FALSE,TRUE,4385008,0,4383801,0,4376250,0,NA,NA,12.29,NA,7,8738791,0.11,0.37,0.14,NA,NA,NA,NA,NA,NA,NA,NA,COVID19Cases,,2023-01-24_06-03-16,day,10,0,914
CH,2020-02-29,13,45,FALSE,TRUE,4385008,0,4383801,0,4376250,0,NA,NA,16.86,NA,7,8738791,0.15,0.51,0.19,NA,NA,NA,NA,NA,NA,NA,NA,COVID19Cases,,2023-01-24_06-03-16,day,13,0,914
CH,2020-03-01,12,57,FALSE,TRUE,4385008,0,4383801,0,4376250,0,57,NA,24.14,31,7,8738791,0.14,0.65,0.28,0.35,NA,NA,NA,0.65,NA,NA,NA,COVID19Cases,,2023-01-24_06-03-16,day,12,0,914
CH,2020-03-02,30,87,FALSE,TRUE,4385008,0,4383801,0,4376250,0,86,NA,31.57,44.57,7,8738791,0.34,1,0.36,0.51,NA,NA,NA,0.98,NA,29,0.32999999999999996,COVID19Cases,,2023-01-24_06-03-16,day,30,0,914
CH,2020-03-03,33,120,FALSE,TRUE,4385008,0,4383801,0,4376250,0,118,NA,40.57,59.5,7,8738791,0.38,1.37,0.46,0.68,NA,NA,NA,1.35,NA,32,0.3700000000000001,COVID19Cases,,2023-01-24_06-03-16,day,33,0,914
CH,2020-03-04,61,181,FALSE,TRUE,4385008,0,4383801,0,4376250,0,169,NA,45.71,82.57,7,8738791,0.7,2.07,0.52,0.94,NA,NA,NA,1.93,NA,51,0.5799999999999998,COVID19Cases,,2023-01-24_06-03-16,day,61,0,914
CH,2020-03-05,62,243,FALSE,TRUE,4385008,0,4383801,0,4376250,0,221,NA,53.86,107.36,7,8738791,0.71,2.78,0.62,1.23,NA,NA,NA,2.53,NA,52,0.5999999999999999,COVID19Cases,,2023-01-24_06-03-16,day,62,0,914
CH,2020-03-06,73,316,FALSE,TRUE,4385008,0,4383801,0,4376250,0,284,NA,76.86,137.43,7,8738791,0.84,3.62,0.88,1.57,NA,NA,NA,3.25,NA,63,0.7200000000000002,COVID19Cases,,2023-01-24_06-03-16,day,73,0,914
CH,2020-03-07,49,365,FALSE,TRUE,4385008,0,4383801,0,4376250,0,320,NA,102.14,166.29,7,8738791,0.56,4.18,1.17,1.9,NA,NA,NA,3.66,NA,36,0.41000000000000014,COVID19Cases,,2023-01-24_06-03-16,day,49,0,914
CH,2020-03-08,69,434,FALSE,TRUE,4385008,0,4383801,0,4376250,0,377,434,141,188.71,7,8738791,0.79,4.97,1.61,2.16,NA,NA,NA,4.31,4.97,57,0.6499999999999995,COVID19Cases,,2023-01-24_06-03-16,day,69,0,914
