altersklasse_covid19,geoRegion,datum,entries,timeframe_all,sumTotal,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff
0 - 9,CH,202009,2,TRUE,2,0.035,3.5000000000000004,883904,0.23,0.23,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-09,NA,NA,NA,NA
10 - 19,CH,202009,1,TRUE,1,0.018,1.7999999999999998,858994,0.12,0.12,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-09,NA,NA,NA,NA
20 - 29,CH,202009,16,TRUE,16,0.281,28.1,1027732,1.56,1.56,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-09,NA,NA,NA,NA
30 - 39,CH,202009,15,TRUE,15,0.263,26.3,1254957,1.2,1.2,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-09,NA,NA,NA,NA
40 - 49,CH,202009,7,TRUE,7,0.123,12.3,1205539,0.58,0.58,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-09,NA,NA,NA,NA
50 - 59,CH,202009,8,TRUE,8,0.14,14.000000000000002,1300012,0.62,0.62,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-09,NA,NA,NA,NA
60 - 69,CH,202009,4,TRUE,4,0.07,7.000000000000001,991217,0.4,0.4,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-09,NA,NA,NA,NA
70 - 79,CH,202009,3,TRUE,3,0.053,5.3,744449,0.4,0.4,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-09,NA,NA,NA,NA
80+,CH,202009,1,TRUE,1,0.018,1.7999999999999998,471987,0.21,0.21,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-09,NA,NA,NA,NA
Unbekannt,CH,202009,0,TRUE,0,0,0,NA,NA,NA,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-09,NA,NA,NA,NA
0 - 9,CH,202010,4,TRUE,6,0.011,1.0999999999999999,883904,0.45,0.68,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-10,2,0.22,100,-2.4000000000000004
10 - 19,CH,202010,9,TRUE,10,0.024,2.4,858994,1.05,1.16,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-10,8,0.93,800,0.6000000000000001
20 - 29,CH,202010,42,TRUE,58,0.111,11.1,1027732,4.09,5.64,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-10,26,2.53,162.5,-17
30 - 39,CH,202010,59,TRUE,74,0.156,15.6,1254957,4.7,5.9,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-10,44,3.5,293.3,-10.700000000000001
40 - 49,CH,202010,75,TRUE,82,0.199,19.900000000000002,1205539,6.22,6.8,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-10,68,5.64,971.4,7.600000000000001
50 - 59,CH,202010,84,TRUE,92,0.223,22.3,1300012,6.46,7.08,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-10,76,5.84,950,8.299999999999999
60 - 69,CH,202010,47,TRUE,51,0.125,12.5,991217,4.74,5.15,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-10,43,4.34,1075,5.499999999999999
70 - 79,CH,202010,33,TRUE,36,0.088,8.799999999999999,744449,4.43,4.84,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-10,30,4.03,1000,3.499999999999999
80+,CH,202010,24,TRUE,25,0.064,6.4,471987,5.08,5.3,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-10,23,4.87,2300,4.6000000000000005
Unbekannt,CH,202010,0,TRUE,0,0,0,NA,NA,NA,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-10,0,NA,NA,0
0 - 9,CH,202011,13,TRUE,19,0.006,0.6,883904,1.47,2.15,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-11,9,1.02,225,-0.4999999999999999
10 - 19,CH,202011,45,TRUE,55,0.02,2,858994,5.24,6.4,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-11,36,4.19,400,-0.3999999999999999
20 - 29,CH,202011,266,TRUE,324,0.117,11.700000000000001,1027732,25.88,31.53,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-11,224,21.79,533.3,0.6000000000000014
30 - 39,CH,202011,356,TRUE,430,0.157,15.7,1254957,28.37,34.26,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-11,297,23.67,503.4,0.09999999999999964
40 - 49,CH,202011,389,TRUE,471,0.172,17.2,1205539,32.27,39.07,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-11,314,26.05,418.7,-2.700000000000003
50 - 59,CH,202011,457,TRUE,549,0.202,20.200000000000003,1300012,35.15,42.23,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-11,373,28.69,444,-2.099999999999998
60 - 69,CH,202011,280,TRUE,331,0.124,12.4,991217,28.25,33.39,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-11,233,23.51,495.7,-0.09999999999999964
70 - 79,CH,202011,259,TRUE,295,0.114,11.4,744449,34.79,39.63,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2020-11,226,30.36,684.8,2.6000000000000014
